Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
jeudi 25 juin,Équateur,2 - 1,Allemagne,,145,Exact +20pts,,165
jeudi 25 juin,Curaçao,0 - 2,Côte d’Ivoire,,53,,0 - 3,53
jeudi 25 juin,Tunisie,1 - 3,Pays-Bas,,56,,0 - 3,56
jeudi 25 juin,Japon,1 - 1,Suède,,96,,2 - 1,0
mercredi 24 juin,Colombie,1 - 0,RD Congo,,77,,2 - 0,77
mercredi 24 juin,Suisse,2 - 1,Canada,,129,,1 - 2,0
mercredi 24 juin,Bosnie,3 - 1,Qatar,,87,,2 - 1,87
mercredi 24 juin,Écosse,0 - 3,Brésil,,48,Très rare +50pts,,98
mercredi 24 juin,Maroc,4 - 2,Haïti,,29,,3 - 0,29
mardi 23 juin,Norvège,3 - 2,Sénégal,,137,,1 - 2,0
mardi 23 juin,Jordanie,1 - 2,Algérie,,139,,1 - 1,0
mardi 23 juin,Portugal,5 - 0,Ouzbékistan,,154,,1 - 1,0
mardi 23 juin,Angleterre,0 - 0,Ghana,,44,,3 - 0,0
mardi 23 juin,Panama,0 - 1,Croatie,,36,,0 - 3,36
lundi 22 juin,Nouvelle-Zélande,1 - 3,Égypte,,148,,2 - 1,0
lundi 22 juin,Argentine,2 - 0,Autriche,,63,Rare +30pts,,93
lundi 22 juin,France,3 - 0,Irak,,22,,4 - 0,22
dimanche 21 juin,Équateur,0 - 0,Curaçao,,41,,3 - 0,0
dimanche 21 juin,Tunisie,0 - 4,Japon,,91,,1 - 2,91
dimanche 21 juin,Espagne,4 - 0,Arabie saoudite,,31,,3 - 0,31
dimanche 21 juin,Belgique,0 - 0,Iran,,39,,3 - 0,0
dimanche 21 juin,Uruguay,2 - 2,Cap-Vert,,72,,3 - 0,0
samedi 20 juin,Brésil,3 - 0,Haïti,,21,,4 - 1,21
samedi 20 juin,Turquie,0 - 1,Paraguay,,84,,2 - 1,0
samedi 20 juin,Pays-Bas,5 - 1,Suède,,67,,1 - 0,67
samedi 20 juin,Allemagne,2 - 1,Côte d’Ivoire,,38,,3 - 1,38
vendredi 19 juin,Mexique,1 - 0,Corée du Sud,,129,,1 - 2,0
vendredi 19 juin,États-Unis,2 - 0,Australie,,119,,1 - 1,0
vendredi 19 juin,Écosse,0 - 1,Maroc,,91,,0 - 2,91
jeudi 18 juin,Ouzbékistan,1 - 3,Colombie,,130,,2 - 2,0
jeudi 18 juin,Tchéquie,1 - 1,Afrique du Sud,,62,,3 - 1,0
jeudi 18 juin,Suisse,4 - 1,Bosnie,,108,,0 - 0,0
jeudi 18 juin,Canada,6 - 0,Qatar,,71,,1 - 0,71
mercredi 17 juin,Argentine,3 - 0,Algérie,,159,,1 - 2,0
mercredi 17 juin,Autriche,3 - 1,Jordanie,,38,,3 - 0,38
mercredi 17 juin,Portugal,1 - 1,RD Congo,,34,,5 - 0,0
mercredi 17 juin,Angleterre,4 - 2,Croatie,,119,,1 - 1,0
mercredi 17 juin,Ghana,1 - 0,Panama,,113,,1 - 1,0
mardi 16 juin,Iran,2 - 2,Nouvelle-Zélande,,63,,2 - 0,0
mardi 16 juin,France,3 - 1,Sénégal,,46,Rare +30pts,,76
mardi 16 juin,Irak,1 - 4,Norvège,,30,,0 - 4,30
lundi 15 juin,Suède,5 - 1,Tunisie,,72,,1 - 0,72
lundi 15 juin,Espagne,0 - 0,Cap-Vert,,16,,5 - 0,0
lundi 15 juin,Belgique,1 - 1,Égypte,,57,,3 - 0,0
lundi 15 juin,Arabie saoudite,1 - 1,Uruguay,,50,,0 - 2,0
dimanche 14 juin,Haïti,0 - 1,Écosse,,44,,1 - 4,44
dimanche 14 juin,Australie,2 - 0,Turquie,,115,,1 - 1,0
dimanche 14 juin,Allemagne,7 - 1,Curaçao,,15,,6 - 0,15
dimanche 14 juin,Pays-Bas,2 - 2,Japon,,115,,1 - 1,115
dimanche 14 juin,Côte d’Ivoire,1 - 0,Équateur,,108,,2 - 1,108
samedi 13 juin,États-Unis,4 - 1,Paraguay,,113,,0 - 0,0
samedi 13 juin,Qatar,1 - 1,Suisse,,33,,0 - 3,0
samedi 13 juin,Brésil,1 - 1,Maroc,,55,,3 - 2,0
vendredi 12 juin,Corée du Sud,2 - 1,Tchéquie,,107,,1 - 1,0
vendredi 12 juin,Canada,1 - 1,Bosnie,,65,,2 - 1,0
jeudi 11 juin,Mexique,2 - 0,Afrique du Sud,,49,,2 - 1,49
